id,abstract
20149,"  Let $n$ and $k$ be natural numbers such that $2^k < n$. We study the
restriction to $\mathfrak{S}_{n-2^k}$ of odd-degree irreducible characters of
the symmetric group $\mathfrak{S}_n$. This analysis completes the study begun
in [Ayyer A., Prasad A., Spallone S., Sem. Lothar. Combin. 75 (2015), Art.
B75g, 13 pages] and recently developed in [Isaacs I.M., Navarro G., Olsson
J.B., Tiep P.H., J. Algebra 478 (2017), 271-282].
"
2099,"  Predicting Arctic sea ice extent is a notoriously difficult forecasting
problem, even for lead times as short as one month. Motivated by Arctic
intraannual variability phenomena such as reemergence of sea surface
temperature and sea ice anomalies, we use a prediction approach for sea ice
anomalies based on analog forecasting. Traditional analog forecasting relies on
identifying a single analog in a historical record, usually by minimizing
Euclidean distance, and forming a forecast from the analog's historical
trajectory. Here an ensemble of analogs are used to make forecasts, where the
ensemble weights are determined by a dynamics-adapted similarity kernel, which
takes into account the nonlinear geometry on the underlying data manifold. We
apply this method for forecasting pan-Arctic and regional sea ice area and
volume anomalies from multi-century climate model data, and in many cases find
improvement over the benchmark damped persistence forecast. Examples of success
include the 3--6 month lead time prediction of pan-Arctic area, the winter sea
ice area prediction of some marginal ice zone seas, and the 3--12 month lead
time prediction of sea ice volume anomalies in many central Arctic basins. We
discuss possible connections between KAF success and sea ice reemergence, and
find KAF to be successful in regions and seasons exhibiting high interannual
variability.
"
7811,"  Network coding based peer-to-peer streaming represents an effective solution
to aggregate user capacities and to increase system throughput in live
multimedia streaming. Nonetheless, such systems are vulnerable to pollution
attacks where a handful of malicious peers can disrupt the communication by
transmitting just a few bogus packets which are then recombined and relayed by
unaware honest nodes, further spreading the pollution over the network. Whereas
previous research focused on malicious nodes identification schemes and
pollution-resilient coding, in this paper we show pollution countermeasures
which make a standard network coding scheme resilient to pollution attacks.
Thanks to a simple yet effective analytical model of a reference node
collecting packets by malicious and honest neighbors, we demonstrate that i)
packets received earlier are less likely to be polluted and ii) short
generations increase the likelihood to recover a clean generation. Therefore,
we propose a recombination scheme where nodes draw packets to be recombined
according to their age in the input queue, paired with a decoding scheme able
to detect the reception of polluted packets early in the decoding process and
short generations. The effectiveness of our approach is experimentally
evaluated in a real system we developed and deployed on hundreds to thousands
peers. Experimental evidence shows that, thanks to our simple countermeasures,
the effect of a pollution attack is almost canceled and the video quality
experienced by the peers is comparable to pre-attack levels.
"
19856,"  The problem of the estimation of relevance to a set of histograms generated
by samples of a discrete time process is discussed on the base of the
variational principles proposed in the previous paper [1]. Some conditions for
dimension reduction of corresponding linear programming problems are presented
also.
"
13057,"  We study the problem of cooperative inference where a group of agents
interact over a network and seek to estimate a joint parameter that best
explains a set of observations. Agents do not know the network topology or the
observations of other agents. We explore a variational interpretation of the
Bayesian posterior density, and its relation to the stochastic mirror descent
algorithm, to propose a new distributed learning algorithm. We show that, under
appropriate assumptions, the beliefs generated by the proposed algorithm
concentrate around the true parameter exponentially fast. We provide explicit
non-asymptotic bounds for the convergence rate. Moreover, we develop explicit
and computationally efficient algorithms for observation models belonging to
exponential families.
"
13016,"  We present absolute frequency measurement of the unperturbed P7 P7 O$_2$
B-band transition with relative standard uncertainty of $2\times10^{-11}$. We
reached the level of accuracy typical for Doppler-free techniques, with
Doppler-limited spectroscopy. The Doppler-limited shapes of the P7 P7 spectral
line were measured with a frequency-stabilized cavity ring-down spectrometer
referenced to an $^{88}$Sr optical atomic clock by an optical frequency comb.
"
7232,"  Recently a certain $q$-Painlevé type system has been obtained from a
reduction of the $q$-Garnier system. In this paper it is shown that the
$q$-Painlevé type system is associated with another realization of the affine
Weyl group symmetry of type $E_7^{(1)}$ and is different from the well-known
$q$-Painlevé system of type $E_7^{(1)}$ from the point of view of evolution
directions. We also study a connection between the $q$-Painlevé type system
and the $q$-Painlevé system of type $E_7^{(1)}$. Furthermore determinant
formulas of particular solutions for the $q$-Painlevé type system are
constructed in terms of the terminating $q$-hypergeometric function.
"
18320,"  We show that any $d$-colored set of points in general position in
$\mathbb{R}^d$ can be partitioned into $n$ subsets with disjoint convex hulls
such that the set of points and all color classes are partitioned as evenly as
possible. This extends results by Holmsen, Kynčl & Valculescu (2017) and
establishes a special case of their general conjecture. Our proof utilizes a
result obtained independently by Soberón and by Karasev in 2010, on
simultaneous equipartitions of $d$ continuous measures in $\mathbb{R}^d$ by $n$
convex regions. This gives a convex partition of $\mathbb{R}^d$ with the
desired properties, except that points may lie on the boundaries of the
regions. In order to resolve the ambiguous assignment of these points, we set
up a network flow problem. The equipartition of the continuous measures gives a
fractional flow. The existence of an integer flow then yields the desired
partition of the point set.
"
16550,"  We prove an inverse theorem for the Gowers $U^2$-norm for maps $G\to\mathcal
M$ from an countable, discrete, amenable group $G$ into a von Neumann algebra
$\mathcal M$ equipped with an ultraweakly lower semi-continuous, unitarily
invariant (semi-)norm $\Vert\cdot\Vert$. We use this result to prove a
stability result for unitary-valued $\varepsilon$-representations $G\to\mathcal
U(\mathcal M)$ with respect to $\Vert\cdot \Vert$.
"
11117,"  The stochastic variance-reduced gradient method (SVRG) and its accelerated
variant (Katyusha) have attracted enormous attention in the machine learning
community in the last few years due to their superior theoretical properties
and empirical behaviour on training supervised machine learning models via the
empirical risk minimization paradigm. A key structural element in both of these
methods is the inclusion of an outer loop at the beginning of which a full pass
over the training data is made in order to compute the exact gradient, which is
then used to construct a variance-reduced estimator of the gradient. In this
work we design {\em loopless variants} of both of these methods. In particular,
we remove the outer loop and replace its function by a coin flip performed in
each iteration designed to trigger, with a small probability, the computation
of the gradient. We prove that the new methods enjoy the same superior
theoretical convergence properties as the original methods. However, we
demonstrate through numerical experiments that our methods have substantially
superior practical behavior.
"
12417,"  It is argued that many of the problems and ambiguities of standard cosmology
derive from a single one: violation of conservation of energy in the standard
paradigm. Standard cosmology satisfies conservation of local energy, however
disregards the inherent global aspect of energy. We therefore explore
conservation of the quasi-local Misner-Sharp energy within the causal horizon,
which, as we argue, is necessarily an apparent horizon. Misner-Sharp energy
assumes the presence of arbitrary mass-energy. Its conservation, however,
yields ""empty"" de Sitter (open, flat, closed) as single cosmological solution,
where Misner-Sharp total energy acts as cosmological constant and where the
source of curvature energy is unidentified. It is argued that de Sitter is only
apparently empty of matter. That is, total matter energy scales as curvature
energy in open de Sitter, which causes evolution of the cosmic potential and
induces gravitational time dilation. Curvature of time accounts completely for
the extrinsic curvature, i.e., renders open de Sitter spatially flat. This
explains the well known, surprising, spatial flatness of Misner-Sharp energy,
even if extrinsic curvature is non-zero. The general relativistic derivation
from Misner-Sharp energy is confirmed by a Machian equation of recessional and
peculiar energy, which explicitly assumes the presence of matter. This
relational model enhances interpretation. Time-dilated open de Sitter is
spatially flat, dynamically close to $\Lambda$CDM, and is shown to be without
the conceptual problems of concordance cosmology.
"
18845,"  Measuring domain relevance of data and identifying or selecting well-fit
domain data for machine translation (MT) is a well-studied topic, but denoising
is not yet. Denoising is concerned with a different type of data quality and
tries to reduce the negative impact of data noise on MT training, in
particular, neural MT (NMT) training. This paper generalizes methods for
measuring and selecting data for domain MT and applies them to denoising NMT
training. The proposed approach uses trusted data and a denoising curriculum
realized by online data selection. Intrinsic and extrinsic evaluations of the
approach show its significant effectiveness for NMT to train on data with
severe noise.
"
9883,"  We derive the Markov process equivalent to She-Leveque scaling in homogeneous
and isotropic turbulence. The Markov process is a jump process for velocity
increments $u(r)$ in scale $r$ in which the jumps occur randomly but with
deterministic width in $u$. From its master equation we establish a
prescription to simulate the She-Leveque process and compare it with Kolmogorov
scaling. To put the She-Leveque process into the context of other established
turbulence models on the Markov level, we derive a diffusion process for $u(r)$
from two properties of the Navier-Stokes equation. This diffusion process
already includes Kolmogorov scaling, extended self-similarity and a class of
random cascade models. The fluctuation theorem of this Markov process implies a
""second law"" that puts a loose bound on the multipliers of the random cascade
models. This bound explicitly allows for inverse cascades, which are necessary
to satisfy the fluctuation theorem. By adding a jump process to the diffusion
process, we go beyond Kolmogorov scaling and formulate the most general scaling
law for the class of Markov processes having both diffusion and jump parts.
This Markov scaling law includes She-Leveque scaling and a scaling law derived
by Yakhot.
"
10737,"  Formal verification techniques are widely used for detecting design flaws in
software systems. Formal verification can be done by transforming an already
implemented source code to a formal model and attempting to prove certain
properties of the model (e.g. that no erroneous state can occur during
execution). Unfortunately, transformations from source code to a formal model
often yield large and complex models, making the verification process
inefficient and costly. In order to reduce the size of the resulting model,
optimization transformations can be used. Such optimizations include common
algorithms known from compiler design and different program slicing techniques.
Our paper describes a framework for transforming C programs to a formal model,
enhanced by various optimizations for size reduction. We evaluate and compare
several optimization algorithms regarding their effect on the size of the model
and the efficiency of the verification. Results show that different
optimizations are more suitable for certain models, justifying the need for a
framework that includes several algorithms.
"
14217,"  For $d\geq1$, we study the simplicial structure of the chain complex
associated to the higher order Hochschild homology over the $d$-sphere. We
discuss $H_\bullet^{S^d}(A,M)$ by way of a bar-like resolution
$\mathcal{B}^d(A)$ in the context of simplicial modules. Besides the general
case, we give explicit detail corresponding to $S^3$. We also present a
description of what can replace these bar-like resolutions in order to aid with
computation. The cohomology version can be done following a similar
construction, of which we make mention.
"
2611,"  We propose new smoothed median and the Wilcoxon's rank sum test. As is
pointed out by Maesono et al.(2016), some nonparametric discrete tests have a
problem with their significance probability. Because of this problem, the
selection of the median and the Wilcoxon's test can be biased too, however, we
show new smoothed tests are free from the problem. Significance probabilities
and local asymptotic powers of the new tests are studied, and we show that they
inherit good properties of the discrete tests.
"
